commune,station,no2_value,date_local,seuil_info_recommandation,seuil_alerte
Cholet,SAINT EXUPERY,4.0,2025-05-17,200,400
Saint-Nazaire,LEON BLUM,7.8,2025-05-17,200,400
Angers,BEAUX ARTS,4.2,2025-05-17,200,400
Laval,MAZAGRAN,4.6,2025-05-17,200,400
La Tardière,LA TARDIERE,1.9,2025-05-17,200,400
Angers,APPENTIS,3.9,2025-05-17,200,400
La Roche-Sur-Yon,DELACROIX,3.9,2025-05-17,200,400
Le Mans,GUEDOU,6.4,2025-05-17,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.6,2025-05-17,200,400
Donges,PARSCAU DU PLESSIS,3.8,2025-05-17,200,400
Saint-Nazaire,PARC PAYSAGER,5.6,2025-05-17,200,400
Le Mans,SOURCES,3.8,2025-05-17,200,400
Nantes,CIM BOUTEILLERIE,4.6,2025-05-17,200,400
Bouguenais,LES COUETS,4.8,2025-05-17,200,400
Angers,ROI RENE,15.0,2025-05-17,200,400
Montoir-De-Bretagne,CAMEE,4.2,2025-05-17,200,400
Nantes,FRERES GONCOURT,14.0,2025-05-17,200,400
Laval,RUE DE LA PAIX,7.1,2025-05-17,200,400
Nantes,PRAIRIE AU DUC,6.0,2025-05-17,200,400
Donges,LA MEGRETAIS,4.0,2025-05-16,200,400
Frossay,FROSSAY,3.3,2025-05-16,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.1,2025-05-16,200,400
Trignac,JULES VERNE,6.2,2025-05-16,200,400
Cholet,SAINT EXUPERY,5.2,2025-05-16,200,400
Saint-Nazaire,LEON BLUM,6.0,2025-05-16,200,400
Angers,BEAUX ARTS,5.9,2025-05-16,200,400
Laval,MAZAGRAN,5.5,2025-05-16,200,400
La Tardière,LA TARDIERE,2.2,2025-05-16,200,400
Angers,APPENTIS,5.1,2025-05-16,200,400
La Roche-Sur-Yon,DELACROIX,4.7,2025-05-16,200,400
Le Mans,GUEDOU,6.0,2025-05-16,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.2,2025-05-16,200,400
Donges,PARSCAU DU PLESSIS,3.3,2025-05-16,200,400
Saint-Nazaire,PARC PAYSAGER,4.7,2025-05-16,200,400
Le Mans,SOURCES,5.0,2025-05-16,200,400
Nantes,CIM BOUTEILLERIE,5.5,2025-05-16,200,400
Bouguenais,LES COUETS,6.9,2025-05-16,200,400
Angers,ROI RENE,16.0,2025-05-16,200,400
Montoir-De-Bretagne,CAMEE,4.3,2025-05-16,200,400
Nantes,FRERES GONCOURT,10.0,2025-05-16,200,400
Laval,RUE DE LA PAIX,13.0,2025-05-16,200,400
Nantes,PRAIRIE AU DUC,6.5,2025-05-16,200,400
Donges,LA MEGRETAIS,4.8,2025-05-15,200,400
Frossay,FROSSAY,3.9,2025-05-15,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.7,2025-05-15,200,400
Trignac,JULES VERNE,7.7,2025-05-15,200,400
Cholet,SAINT EXUPERY,6.1,2025-05-15,200,400
Saint-Nazaire,LEON BLUM,6.8,2025-05-15,200,400
Angers,BEAUX ARTS,5.5,2025-05-15,200,400
Laval,MAZAGRAN,5.4,2025-05-15,200,400
La Tardière,LA TARDIERE,2.7,2025-05-15,200,400
Angers,APPENTIS,5.3,2025-05-15,200,400
La Roche-Sur-Yon,DELACROIX,5.5,2025-05-15,200,400
Le Mans,GUEDOU,5.8,2025-05-15,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.3,2025-05-15,200,400
Donges,PARSCAU DU PLESSIS,3.9,2025-05-15,200,400
Saint-Nazaire,PARC PAYSAGER,5.2,2025-05-15,200,400
Le Mans,SOURCES,5.0,2025-05-15,200,400
Nantes,CIM BOUTEILLERIE,5.9,2025-05-15,200,400
Bouguenais,LES COUETS,7.5,2025-05-15,200,400
Angers,ROI RENE,13.0,2025-05-15,200,400
Montoir-De-Bretagne,CAMEE,5.0,2025-05-15,200,400
Nantes,FRERES GONCOURT,8.7,2025-05-15,200,400
Laval,RUE DE LA PAIX,12.0,2025-05-15,200,400
Nantes,PRAIRIE AU DUC,7.2,2025-05-15,200,400
Donges,LA MEGRETAIS,5.7,2025-05-14,200,400
Frossay,FROSSAY,4.3,2025-05-14,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.0,2025-05-14,200,400
Trignac,JULES VERNE,8.1,2025-05-14,200,400
Cholet,SAINT EXUPERY,8.1,2025-05-14,200,400
Saint-Nazaire,LEON BLUM,8.4,2025-05-14,200,400
Angers,BEAUX ARTS,8.5,2025-05-14,200,400
Laval,MAZAGRAN,8.8,2025-05-14,200,400
La Tardière,LA TARDIERE,2.4,2025-05-14,200,400
Angers,APPENTIS,8.1,2025-05-14,200,400
La Roche-Sur-Yon,DELACROIX,7.1,2025-05-14,200,400
Le Mans,GUEDOU,9.5,2025-05-14,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,4.5,2025-05-14,200,400
Donges,PARSCAU DU PLESSIS,4.6,2025-05-14,200,400
Saint-Nazaire,PARC PAYSAGER,7.6,2025-05-14,200,400
Le Mans,SOURCES,7.4,2025-05-14,200,400
Nantes,CIM BOUTEILLERIE,7.8,2025-05-14,200,400
Bouguenais,LES COUETS,12.0,2025-05-14,200,400
Angers,ROI RENE,26.0,2025-05-14,200,400
Montoir-De-Bretagne,CAMEE,6.8,2025-05-14,200,400
Nantes,FRERES GONCOURT,22.0,2025-05-14,200,400
Laval,RUE DE LA PAIX,16.0,2025-05-14,200,400
Nantes,PRAIRIE AU DUC,9.9,2025-05-14,200,400
Donges,LA MEGRETAIS,3.9,2025-05-13,200,400
Frossay,FROSSAY,3.0,2025-05-13,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.2,2025-05-13,200,400
Trignac,JULES VERNE,6.7,2025-05-13,200,400
Cholet,SAINT EXUPERY,5.6,2025-05-13,200,400
Saint-Nazaire,LEON BLUM,4.0,2025-05-13,200,400
Angers,BEAUX ARTS,7.1,2025-05-13,200,400
Laval,MAZAGRAN,7.0,2025-05-13,200,400
La Tardière,LA TARDIERE,1.7,2025-05-13,200,400
Angers,APPENTIS,5.7,2025-05-13,200,400
La Roche-Sur-Yon,DELACROIX,4.0,2025-05-13,200,400
Le Mans,GUEDOU,9.8,2025-05-13,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.7,2025-05-13,200,400
Donges,PARSCAU DU PLESSIS,4.4,2025-05-13,200,400
Saint-Nazaire,PARC PAYSAGER,3.8,2025-05-13,200,400
Le Mans,SOURCES,6.8,2025-05-13,200,400
Nantes,CIM BOUTEILLERIE,6.3,2025-05-13,200,400
Bouguenais,LES COUETS,7.3,2025-05-13,200,400
Angers,ROI RENE,25.0,2025-05-13,200,400
Montoir-De-Bretagne,CAMEE,5.4,2025-05-13,200,400
Nantes,FRERES GONCOURT,31.0,2025-05-13,200,400
Laval,RUE DE LA PAIX,19.0,2025-05-13,200,400
Nantes,PRAIRIE AU DUC,9.4,2025-05-13,200,400
Donges,LA MEGRETAIS,2.6,2025-05-12,200,400
Frossay,FROSSAY,2.3,2025-05-12,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.3,2025-05-12,200,400
Trignac,JULES VERNE,5.4,2025-05-12,200,400
Cholet,SAINT EXUPERY,3.6,2025-05-12,200,400
Saint-Nazaire,LEON BLUM,3.4,2025-05-12,200,400
Angers,BEAUX ARTS,5.9,2025-05-12,200,400
Laval,MAZAGRAN,7.4,2025-05-12,200,400
La Tardière,LA TARDIERE,1.4,2025-05-12,200,400
Angers,APPENTIS,4.1,2025-05-12,200,400
La Roche-Sur-Yon,DELACROIX,4.0,2025-05-12,200,400
Le Mans,GUEDOU,5.7,2025-05-12,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.0,2025-05-12,200,400
Donges,PARSCAU DU PLESSIS,5.4,2025-05-12,200,400
Saint-Nazaire,PARC PAYSAGER,3.4,2025-05-12,200,400
Le Mans,SOURCES,4.3,2025-05-12,200,400
Nantes,CIM BOUTEILLERIE,5.9,2025-05-12,200,400
Bouguenais,LES COUETS,4.8,2025-05-12,200,400
Angers,ROI RENE,12.0,2025-05-12,200,400
Montoir-De-Bretagne,CAMEE,6.0,2025-05-12,200,400
Nantes,FRERES GONCOURT,34.0,2025-05-12,200,400
Laval,RUE DE LA PAIX,20.0,2025-05-12,200,400
Nantes,PRAIRIE AU DUC,6.5,2025-05-12,200,400
Donges,LA MEGRETAIS,2.6,2025-05-11,200,400
Frossay,FROSSAY,2.4,2025-05-11,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,2.2,2025-05-11,200,400
Trignac,JULES VERNE,3.3,2025-05-11,200,400
Cholet,SAINT EXUPERY,3.3,2025-05-11,200,400
Saint-Nazaire,LEON BLUM,3.4,2025-05-11,200,400
Angers,BEAUX ARTS,4.1,2025-05-11,200,400
Laval,MAZAGRAN,4.6,2025-05-11,200,400
La Tardière,LA TARDIERE,1.6,2025-05-11,200,400
Angers,APPENTIS,3.1,2025-05-11,200,400
La Roche-Sur-Yon,DELACROIX,2.6,2025-05-11,200,400
Le Mans,GUEDOU,6.2,2025-05-11,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.4,2025-05-11,200,400
Donges,PARSCAU DU PLESSIS,4.5,2025-05-11,200,400
Saint-Nazaire,PARC PAYSAGER,3.9,2025-05-11,200,400
Le Mans,SOURCES,5.4,2025-05-11,200,400
Nantes,CIM BOUTEILLERIE,4.0,2025-05-11,200,400
Bouguenais,LES COUETS,3.0,2025-05-11,200,400
Angers,ROI RENE,7.2,2025-05-11,200,400
Montoir-De-Bretagne,CAMEE,5.1,2025-05-11,200,400
Nantes,FRERES GONCOURT,23.0,2025-05-11,200,400
Laval,RUE DE LA PAIX,5.1,2025-05-11,200,400
Nantes,PRAIRIE AU DUC,4.9,2025-05-11,200,400
Donges,LA MEGRETAIS,4.6,2025-05-10,200,400
Frossay,FROSSAY,3.7,2025-05-10,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.7,2025-05-10,200,400
Trignac,JULES VERNE,6.9,2025-05-10,200,400
Cholet,SAINT EXUPERY,6.5,2025-05-10,200,400
Saint-Nazaire,LEON BLUM,7.6,2025-05-10,200,400
Angers,BEAUX ARTS,6.1,2025-05-10,200,400
Laval,MAZAGRAN,6.5,2025-05-10,200,400
La Tardière,LA TARDIERE,2.3,2025-05-10,200,400
Angers,APPENTIS,4.5,2025-05-10,200,400
La Roche-Sur-Yon,DELACROIX,4.0,2025-05-10,200,400
Le Mans,GUEDOU,8.1,2025-05-10,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.7,2025-05-10,200,400
Donges,PARSCAU DU PLESSIS,5.2,2025-05-10,200,400
Saint-Nazaire,PARC PAYSAGER,8.7,2025-05-10,200,400
Le Mans,SOURCES,5.0,2025-05-10,200,400
Nantes,CIM BOUTEILLERIE,6.2,2025-05-10,200,400
Bouguenais,LES COUETS,7.4,2025-05-10,200,400
Angers,ROI RENE,23.0,2025-05-10,200,400
Montoir-De-Bretagne,CAMEE,5.7,2025-05-10,200,400
Nantes,FRERES GONCOURT,22.0,2025-05-10,200,400
Laval,RUE DE LA PAIX,13.0,2025-05-10,200,400
Nantes,PRAIRIE AU DUC,7.8,2025-05-10,200,400
Donges,LA MEGRETAIS,5.0,2025-05-09,200,400
Frossay,FROSSAY,4.5,2025-05-09,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.1,2025-05-09,200,400
Trignac,JULES VERNE,7.0,2025-05-09,200,400
Cholet,SAINT EXUPERY,6.6,2025-05-09,200,400
Saint-Nazaire,LEON BLUM,7.5,2025-05-09,200,400
Angers,BEAUX ARTS,7.0,2025-05-09,200,400
Laval,MAZAGRAN,6.9,2025-05-09,200,400
La Tardière,LA TARDIERE,3.4,2025-05-09,200,400
Angers,APPENTIS,6.7,2025-05-09,200,400
La Roche-Sur-Yon,DELACROIX,5.2,2025-05-09,200,400
Le Mans,GUEDOU,7.9,2025-05-09,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,4.5,2025-05-09,200,400
Donges,PARSCAU DU PLESSIS,4.4,2025-05-09,200,400
Saint-Nazaire,PARC PAYSAGER,7.1,2025-05-09,200,400
Le Mans,SOURCES,6.5,2025-05-09,200,400
Nantes,CIM BOUTEILLERIE,6.3,2025-05-09,200,400
Bouguenais,LES COUETS,7.5,2025-05-09,200,400
Angers,ROI RENE,20.0,2025-05-09,200,400
Montoir-De-Bretagne,CAMEE,5.9,2025-05-09,200,400
Nantes,FRERES GONCOURT,16.0,2025-05-09,200,400
Laval,RUE DE LA PAIX,16.0,2025-05-09,200,400
Nantes,PRAIRIE AU DUC,7.5,2025-05-09,200,400
Donges,LA MEGRETAIS,4.0,2025-05-08,200,400
Frossay,FROSSAY,3.4,2025-05-08,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.2,2025-05-08,200,400
Trignac,JULES VERNE,4.4,2025-05-08,200,400
Cholet,SAINT EXUPERY,4.4,2025-05-08,200,400
Saint-Nazaire,LEON BLUM,5.2,2025-05-08,200,400
Angers,BEAUX ARTS,5.4,2025-05-08,200,400
Laval,MAZAGRAN,5.5,2025-05-08,200,400
La Tardière,LA TARDIERE,3.5,2025-05-08,200,400
Angers,APPENTIS,5.4,2025-05-08,200,400
La Roche-Sur-Yon,DELACROIX,4.9,2025-05-08,200,400
Le Mans,GUEDOU,7.2,2025-05-08,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.6,2025-05-08,200,400
Donges,PARSCAU DU PLESSIS,3.8,2025-05-08,200,400
Saint-Nazaire,PARC PAYSAGER,4.4,2025-05-08,200,400
Le Mans,SOURCES,5.7,2025-05-08,200,400
Nantes,CIM BOUTEILLERIE,5.1,2025-05-08,200,400
Bouguenais,LES COUETS,6.0,2025-05-08,200,400
Angers,ROI RENE,11.0,2025-05-08,200,400
Montoir-De-Bretagne,CAMEE,4.0,2025-05-08,200,400
Nantes,FRERES GONCOURT,11.0,2025-05-08,200,400
Laval,RUE DE LA PAIX,6.3,2025-05-08,200,400
Nantes,PRAIRIE AU DUC,6.3,2025-05-08,200,400
Donges,LA MEGRETAIS,4.6,2025-05-07,200,400
Frossay,FROSSAY,3.9,2025-05-07,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.6,2025-05-07,200,400
Trignac,JULES VERNE,7.0,2025-05-07,200,400
Cholet,SAINT EXUPERY,5.2,2025-05-07,200,400
Saint-Nazaire,LEON BLUM,6.5,2025-05-07,200,400
Angers,BEAUX ARTS,6.3,2025-05-07,200,400
Laval,MAZAGRAN,6.7,2025-05-07,200,400
La Tardière,LA TARDIERE,2.6,2025-05-07,200,400
Angers,APPENTIS,5.7,2025-05-07,200,400
La Roche-Sur-Yon,DELACROIX,4.3,2025-05-07,200,400
Le Mans,GUEDOU,7.1,2025-05-07,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.2,2025-05-07,200,400
Donges,PARSCAU DU PLESSIS,3.9,2025-05-07,200,400
Saint-Nazaire,PARC PAYSAGER,6.2,2025-05-07,200,400
Le Mans,SOURCES,5.7,2025-05-07,200,400
Nantes,CIM BOUTEILLERIE,6.1,2025-05-07,200,400
Bouguenais,LES COUETS,7.9,2025-05-07,200,400
Angers,ROI RENE,13.0,2025-05-07,200,400
Montoir-De-Bretagne,CAMEE,5.1,2025-05-07,200,400
Nantes,FRERES GONCOURT,8.9,2025-05-07,200,400
Laval,RUE DE LA PAIX,13.0,2025-05-07,200,400
Nantes,PRAIRIE AU DUC,6.8,2025-05-07,200,400
Donges,LA MEGRETAIS,4.3,2025-05-06,200,400
Frossay,FROSSAY,3.6,2025-05-06,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.5,2025-05-06,200,400
Trignac,JULES VERNE,6.1,2025-05-06,200,400
Cholet,SAINT EXUPERY,6.0,2025-05-06,200,400
Saint-Nazaire,LEON BLUM,6.7,2025-05-06,200,400
Angers,BEAUX ARTS,6.8,2025-05-06,200,400
Laval,MAZAGRAN,5.7,2025-05-06,200,400
La Tardière,LA TARDIERE,2.8,2025-05-06,200,400
Angers,APPENTIS,5.7,2025-05-06,200,400
La Roche-Sur-Yon,DELACROIX,5.3,2025-05-06,200,400
Le Mans,GUEDOU,7.7,2025-05-06,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.6,2025-05-06,200,400
Donges,PARSCAU DU PLESSIS,3.9,2025-05-06,200,400
Saint-Nazaire,PARC PAYSAGER,5.1,2025-05-06,200,400
Le Mans,SOURCES,5.6,2025-05-06,200,400
Nantes,CIM BOUTEILLERIE,5.5,2025-05-06,200,400
Bouguenais,LES COUETS,7.9,2025-05-06,200,400
Angers,ROI RENE,11.0,2025-05-06,200,400
Montoir-De-Bretagne,CAMEE,4.4,2025-05-06,200,400
Nantes,FRERES GONCOURT,8.6,2025-05-06,200,400
Laval,RUE DE LA PAIX,10.0,2025-05-06,200,400
Nantes,PRAIRIE AU DUC,6.1,2025-05-06,200,400
Donges,LA MEGRETAIS,3.6,2025-05-05,200,400
Frossay,FROSSAY,2.8,2025-05-05,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.1,2025-05-05,200,400
Trignac,JULES VERNE,6.0,2025-05-05,200,400
Cholet,SAINT EXUPERY,4.7,2025-05-05,200,400
Saint-Nazaire,LEON BLUM,5.5,2025-05-05,200,400
Angers,BEAUX ARTS,4.6,2025-05-05,200,400
Laval,MAZAGRAN,5.5,2025-05-05,200,400
La Tardière,LA TARDIERE,1.4,2025-05-05,200,400
Angers,APPENTIS,4.5,2025-05-05,200,400
La Roche-Sur-Yon,DELACROIX,4.2,2025-05-05,200,400
Le Mans,GUEDOU,6.1,2025-05-05,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.5,2025-05-05,200,400
Donges,PARSCAU DU PLESSIS,3.9,2025-05-05,200,400
Saint-Nazaire,PARC PAYSAGER,4.7,2025-05-05,200,400
Le Mans,SOURCES,4.6,2025-05-05,200,400
Nantes,CIM BOUTEILLERIE,4.1,2025-05-05,200,400
Bouguenais,LES COUETS,5.6,2025-05-05,200,400
Angers,ROI RENE,8.8,2025-05-05,200,400
Montoir-De-Bretagne,CAMEE,3.6,2025-05-05,200,400
Nantes,FRERES GONCOURT,6.0,2025-05-05,200,400
Laval,RUE DE LA PAIX,9.7,2025-05-05,200,400
Nantes,PRAIRIE AU DUC,4.9,2025-05-05,200,400
Donges,LA MEGRETAIS,4.0,2025-05-04,200,400
Frossay,FROSSAY,3.5,2025-05-04,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.0,2025-05-04,200,400
Trignac,JULES VERNE,4.3,2025-05-04,200,400
Cholet,SAINT EXUPERY,6.7,2025-05-04,200,400
Saint-Nazaire,LEON BLUM,4.8,2025-05-04,200,400
Angers,BEAUX ARTS,4.1,2025-05-04,200,400
Laval,MAZAGRAN,4.0,2025-05-04,200,400
La Tardière,LA TARDIERE,2.5,2025-05-04,200,400
Angers,APPENTIS,3.8,2025-05-04,200,400
La Roche-Sur-Yon,DELACROIX,4.0,2025-05-04,200,400
Le Mans,GUEDOU,4.0,2025-05-04,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.7,2025-05-04,200,400
Donges,PARSCAU DU PLESSIS,3.7,2025-05-04,200,400
Saint-Nazaire,PARC PAYSAGER,4.5,2025-05-04,200,400
Le Mans,SOURCES,3.1,2025-05-04,200,400
Nantes,CIM BOUTEILLERIE,4.7,2025-05-04,200,400
Bouguenais,LES COUETS,5.6,2025-05-04,200,400
Angers,ROI RENE,6.8,2025-05-04,200,400
Montoir-De-Bretagne,CAMEE,3.9,2025-05-04,200,400
Nantes,FRERES GONCOURT,9.8,2025-05-04,200,400
Laval,RUE DE LA PAIX,3.6,2025-05-04,200,400
Nantes,PRAIRIE AU DUC,6.0,2025-05-04,200,400
Donges,LA MEGRETAIS,6.2,2025-05-03,200,400
Frossay,FROSSAY,3.4,2025-05-03,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.1,2025-05-03,200,400
Trignac,JULES VERNE,7.2,2025-05-03,200,400
Cholet,SAINT EXUPERY,7.3,2025-05-03,200,400
Saint-Nazaire,LEON BLUM,4.1,2025-05-03,200,400
Angers,BEAUX ARTS,6.0,2025-05-03,200,400
Laval,MAZAGRAN,5.4,2025-05-03,200,400
