commune,station,no2_value,date_local,seuil_info_recommandation,seuil_alerte
La Tardière,LA TARDIERE,2.2,2025-05-03,200,400
Angers,APPENTIS,4.7,2025-05-03,200,400
La Roche-Sur-Yon,DELACROIX,3.6,2025-05-03,200,400
Le Mans,GUEDOU,5.4,2025-05-03,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.6,2025-05-03,200,400
Donges,PARSCAU DU PLESSIS,6.7,2025-05-03,200,400
Saint-Nazaire,PARC PAYSAGER,4.1,2025-05-03,200,400
Le Mans,SOURCES,4.3,2025-05-03,200,400
Nantes,CIM BOUTEILLERIE,4.9,2025-05-03,200,400
Bouguenais,LES COUETS,5.5,2025-05-03,200,400
Angers,ROI RENE,17.0,2025-05-03,200,400
Montoir-De-Bretagne,CAMEE,7.3,2025-05-03,200,400
Nantes,FRERES GONCOURT,27.0,2025-05-03,200,400
Laval,RUE DE LA PAIX,9.1,2025-05-03,200,400
Nantes,PRAIRIE AU DUC,6.7,2025-05-03,200,400
Donges,LA MEGRETAIS,6.4,2025-05-02,200,400
Frossay,FROSSAY,5.0,2025-05-02,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.1,2025-05-02,200,400
Trignac,JULES VERNE,8.7,2025-05-02,200,400
Cholet,SAINT EXUPERY,8.3,2025-05-02,200,400
Saint-Nazaire,LEON BLUM,10.0,2025-05-02,200,400
Angers,BEAUX ARTS,7.6,2025-05-02,200,400
Laval,MAZAGRAN,9.0,2025-05-02,200,400
La Tardière,LA TARDIERE,3.2,2025-05-02,200,400
Angers,APPENTIS,6.7,2025-05-02,200,400
La Roche-Sur-Yon,DELACROIX,6.5,2025-05-02,200,400
Le Mans,GUEDOU,10.0,2025-05-02,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,5.0,2025-05-02,200,400
Donges,PARSCAU DU PLESSIS,5.2,2025-05-02,200,400
Saint-Nazaire,PARC PAYSAGER,10.0,2025-05-02,200,400
Le Mans,SOURCES,7.0,2025-05-02,200,400
Nantes,CIM BOUTEILLERIE,8.7,2025-05-02,200,400
Bouguenais,LES COUETS,13.0,2025-05-02,200,400
Angers,ROI RENE,28.0,2025-05-02,200,400
Montoir-De-Bretagne,CAMEE,6.0,2025-05-02,200,400
Nantes,FRERES GONCOURT,23.0,2025-05-02,200,400
Laval,RUE DE LA PAIX,14.0,2025-05-02,200,400
Nantes,PRAIRIE AU DUC,11.0,2025-05-02,200,400
Donges,LA MEGRETAIS,3.9,2025-05-01,200,400
Frossay,FROSSAY,3.3,2025-05-01,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,2.7,2025-05-01,200,400
Trignac,JULES VERNE,8.0,2025-05-01,200,400
Cholet,SAINT EXUPERY,5.6,2025-05-01,200,400
Saint-Nazaire,LEON BLUM,3.6,2025-05-01,200,400
Angers,BEAUX ARTS,5.6,2025-05-01,200,400
Laval,MAZAGRAN,7.8,2025-05-01,200,400
La Tardière,LA TARDIERE,2.1,2025-05-01,200,400
Angers,APPENTIS,4.5,2025-05-01,200,400
La Roche-Sur-Yon,DELACROIX,3.4,2025-05-01,200,400
Le Mans,GUEDOU,7.4,2025-05-01,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,4.3,2025-05-01,200,400
Donges,PARSCAU DU PLESSIS,4.1,2025-05-01,200,400
Saint-Nazaire,PARC PAYSAGER,3.4,2025-05-01,200,400
Le Mans,SOURCES,4.4,2025-05-01,200,400
Nantes,CIM BOUTEILLERIE,5.2,2025-05-01,200,400
Bouguenais,LES COUETS,4.5,2025-05-01,200,400
Angers,ROI RENE,17.0,2025-05-01,200,400
Montoir-De-Bretagne,CAMEE,5.1,2025-05-01,200,400
Nantes,FRERES GONCOURT,22.0,2025-05-01,200,400
Laval,RUE DE LA PAIX,8.4,2025-05-01,200,400
Nantes,PRAIRIE AU DUC,5.7,2025-05-01,200,400
Donges,LA MEGRETAIS,5.4,2025-04-30,200,400
Frossay,FROSSAY,5.4,2025-04-30,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.2,2025-04-30,200,400
Trignac,JULES VERNE,14.0,2025-04-30,200,400
Cholet,SAINT EXUPERY,7.8,2025-04-30,200,400
Saint-Nazaire,LEON BLUM,8.2,2025-04-30,200,400
Angers,BEAUX ARTS,11.0,2025-04-30,200,400
Laval,MAZAGRAN,12.0,2025-04-30,200,400
La Tardière,LA TARDIERE,3.0,2025-04-30,200,400
Angers,APPENTIS,8.5,2025-04-30,200,400
La Roche-Sur-Yon,DELACROIX,6.1,2025-04-30,200,400
Le Mans,GUEDOU,12.0,2025-04-30,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,6.1,2025-04-30,200,400
Donges,PARSCAU DU PLESSIS,4.4,2025-04-30,200,400
Saint-Nazaire,PARC PAYSAGER,9.8,2025-04-30,200,400
Le Mans,SOURCES,6.7,2025-04-30,200,400
Nantes,CIM BOUTEILLERIE,8.7,2025-04-30,200,400
Bouguenais,LES COUETS,7.9,2025-04-30,200,400
Angers,ROI RENE,39.0,2025-04-30,200,400
Montoir-De-Bretagne,CAMEE,5.6,2025-04-30,200,400
Nantes,FRERES GONCOURT,35.0,2025-04-30,200,400
Laval,RUE DE LA PAIX,26.0,2025-04-30,200,400
Nantes,PRAIRIE AU DUC,11.0,2025-04-30,200,400
Donges,LA MEGRETAIS,4.7,2025-04-29,200,400
Frossay,FROSSAY,5.6,2025-04-29,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.5,2025-04-29,200,400
Trignac,JULES VERNE,11.0,2025-04-29,200,400
Cholet,SAINT EXUPERY,7.0,2025-04-29,200,400
Saint-Nazaire,LEON BLUM,7.5,2025-04-29,200,400
Angers,BEAUX ARTS,8.9,2025-04-29,200,400
Laval,MAZAGRAN,14.0,2025-04-29,200,400
La Tardière,LA TARDIERE,3.1,2025-04-29,200,400
Angers,APPENTIS,8.3,2025-04-29,200,400
La Roche-Sur-Yon,DELACROIX,5.6,2025-04-29,200,400
Le Mans,GUEDOU,11.0,2025-04-29,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,5.6,2025-04-29,200,400
Donges,PARSCAU DU PLESSIS,4.6,2025-04-29,200,400
Saint-Nazaire,PARC PAYSAGER,9.9,2025-04-29,200,400
Le Mans,SOURCES,7.6,2025-04-29,200,400
Nantes,CIM BOUTEILLERIE,8.1,2025-04-29,200,400
Bouguenais,LES COUETS,8.2,2025-04-29,200,400
Angers,ROI RENE,29.0,2025-04-29,200,400
Montoir-De-Bretagne,CAMEE,6.2,2025-04-29,200,400
Nantes,FRERES GONCOURT,29.0,2025-04-29,200,400
Laval,RUE DE LA PAIX,27.0,2025-04-29,200,400
Nantes,PRAIRIE AU DUC,11.0,2025-04-29,200,400
Donges,LA MEGRETAIS,6.8,2025-04-28,200,400
Frossay,FROSSAY,5.6,2025-04-28,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.2,2025-04-28,200,400
Trignac,JULES VERNE,10.0,2025-04-28,200,400
Cholet,SAINT EXUPERY,9.5,2025-04-28,200,400
Saint-Nazaire,LEON BLUM,9.3,2025-04-28,200,400
Angers,BEAUX ARTS,8.6,2025-04-28,200,400
Laval,MAZAGRAN,10.0,2025-04-28,200,400
La Tardière,LA TARDIERE,4.5,2025-04-28,200,400
Angers,APPENTIS,9.0,2025-04-28,200,400
La Roche-Sur-Yon,DELACROIX,7.8,2025-04-28,200,400
Le Mans,GUEDOU,11.0,2025-04-28,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,5.4,2025-04-28,200,400
Donges,PARSCAU DU PLESSIS,5.3,2025-04-28,200,400
Saint-Nazaire,PARC PAYSAGER,12.0,2025-04-28,200,400
Le Mans,SOURCES,8.7,2025-04-28,200,400
Nantes,CIM BOUTEILLERIE,8.3,2025-04-28,200,400
Bouguenais,LES COUETS,10.0,2025-04-28,200,400
Angers,ROI RENE,25.0,2025-04-28,200,400
Montoir-De-Bretagne,CAMEE,7.2,2025-04-28,200,400
Nantes,FRERES GONCOURT,26.0,2025-04-28,200,400
Laval,RUE DE LA PAIX,21.0,2025-04-28,200,400
Nantes,PRAIRIE AU DUC,10.0,2025-04-28,200,400
Donges,LA MEGRETAIS,4.5,2025-04-27,200,400
Frossay,FROSSAY,5.5,2025-04-27,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.2,2025-04-27,200,400
Trignac,JULES VERNE,5.8,2025-04-27,200,400
Cholet,SAINT EXUPERY,7.9,2025-04-27,200,400
Saint-Nazaire,LEON BLUM,5.4,2025-04-27,200,400
Angers,BEAUX ARTS,7.5,2025-04-27,200,400
Laval,MAZAGRAN,11.0,2025-04-27,200,400
La Tardière,LA TARDIERE,4.3,2025-04-27,200,400
Angers,APPENTIS,7.5,2025-04-27,200,400
La Roche-Sur-Yon,DELACROIX,6.2,2025-04-27,200,400
Le Mans,GUEDOU,8.7,2025-04-27,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,4.9,2025-04-27,200,400
Donges,PARSCAU DU PLESSIS,5.0,2025-04-27,200,400
Saint-Nazaire,PARC PAYSAGER,5.6,2025-04-27,200,400
Le Mans,SOURCES,8.0,2025-04-27,200,400
Nantes,CIM BOUTEILLERIE,8.3,2025-04-27,200,400
Bouguenais,LES COUETS,11.0,2025-04-27,200,400
Angers,ROI RENE,20.0,2025-04-27,200,400
Montoir-De-Bretagne,CAMEE,6.2,2025-04-27,200,400
Nantes,FRERES GONCOURT,12.0,2025-04-27,200,400
Laval,RUE DE LA PAIX,10.0,2025-04-27,200,400
Nantes,PRAIRIE AU DUC,10.0,2025-04-27,200,400
Donges,LA MEGRETAIS,4.5,2025-04-26,200,400
Frossay,FROSSAY,4.1,2025-04-26,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.0,2025-04-26,200,400
Trignac,JULES VERNE,5.9,2025-04-26,200,400
Cholet,SAINT EXUPERY,7.0,2025-04-26,200,400
Saint-Nazaire,LEON BLUM,7.2,2025-04-26,200,400
Angers,BEAUX ARTS,8.8,2025-04-26,200,400
Laval,MAZAGRAN,9.5,2025-04-26,200,400
La Tardière,LA TARDIERE,3.7,2025-04-26,200,400
Angers,APPENTIS,9.9,2025-04-26,200,400
La Roche-Sur-Yon,DELACROIX,5.7,2025-04-26,200,400
Le Mans,GUEDOU,10.0,2025-04-26,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,5.1,2025-04-26,200,400
Donges,PARSCAU DU PLESSIS,4.4,2025-04-26,200,400
Saint-Nazaire,PARC PAYSAGER,5.6,2025-04-26,200,400
Le Mans,SOURCES,9.2,2025-04-26,200,400
Nantes,CIM BOUTEILLERIE,7.3,2025-04-26,200,400
Bouguenais,LES COUETS,8.0,2025-04-26,200,400
Angers,ROI RENE,21.0,2025-04-26,200,400
Montoir-De-Bretagne,CAMEE,5.1,2025-04-26,200,400
Nantes,FRERES GONCOURT,7.6,2025-04-26,200,400
Laval,RUE DE LA PAIX,14.0,2025-04-26,200,400
Nantes,PRAIRIE AU DUC,9.4,2025-04-26,200,400
Donges,LA MEGRETAIS,6.7,2025-04-25,200,400
Frossay,FROSSAY,5.1,2025-04-25,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,4.0,2025-04-25,200,400
Trignac,JULES VERNE,11.0,2025-04-25,200,400
Cholet,SAINT EXUPERY,7.7,2025-04-25,200,400
Saint-Nazaire,LEON BLUM,12.0,2025-04-25,200,400
Angers,BEAUX ARTS,9.7,2025-04-25,200,400
Laval,MAZAGRAN,9.7,2025-04-25,200,400
La Tardière,LA TARDIERE,2.5,2025-04-25,200,400
Angers,APPENTIS,9.6,2025-04-25,200,400
La Roche-Sur-Yon,DELACROIX,8.4,2025-04-25,200,400
Le Mans,GUEDOU,9.0,2025-04-25,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,4.9,2025-04-25,200,400
Donges,PARSCAU DU PLESSIS,4.7,2025-04-25,200,400
Saint-Nazaire,PARC PAYSAGER,12.0,2025-04-25,200,400
Le Mans,SOURCES,7.3,2025-04-25,200,400
Nantes,CIM BOUTEILLERIE,8.8,2025-04-25,200,400
Bouguenais,LES COUETS,11.0,2025-04-25,200,400
Angers,ROI RENE,27.0,2025-04-25,200,400
Montoir-De-Bretagne,CAMEE,7.7,2025-04-25,200,400
Nantes,FRERES GONCOURT,24.0,2025-04-25,200,400
Laval,RUE DE LA PAIX,25.0,2025-04-25,200,400
Nantes,PRAIRIE AU DUC,13.0,2025-04-25,200,400
Donges,LA MEGRETAIS,5.4,2025-04-24,200,400
Frossay,FROSSAY,4.2,2025-04-24,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.4,2025-04-24,200,400
Trignac,JULES VERNE,5.8,2025-04-24,200,400
Cholet,SAINT EXUPERY,6.3,2025-04-24,200,400
Saint-Nazaire,LEON BLUM,7.4,2025-04-24,200,400
Angers,BEAUX ARTS,11.0,2025-04-24,200,400
Laval,MAZAGRAN,8.7,2025-04-24,200,400
La Tardière,LA TARDIERE,1.2,2025-04-24,200,400
Angers,APPENTIS,11.0,2025-04-24,200,400
La Roche-Sur-Yon,DELACROIX,6.6,2025-04-24,200,400
Le Mans,GUEDOU,9.7,2025-04-24,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,4.1,2025-04-24,200,400
Donges,PARSCAU DU PLESSIS,5.0,2025-04-24,200,400
Saint-Nazaire,PARC PAYSAGER,5.1,2025-04-24,200,400
Le Mans,SOURCES,8.2,2025-04-24,200,400
Nantes,CIM BOUTEILLERIE,6.9,2025-04-24,200,400
Bouguenais,LES COUETS,15.0,2025-04-24,200,400
Angers,ROI RENE,34.0,2025-04-24,200,400
Montoir-De-Bretagne,CAMEE,4.4,2025-04-24,200,400
Nantes,FRERES GONCOURT,15.0,2025-04-24,200,400
Laval,RUE DE LA PAIX,15.0,2025-04-24,200,400
Nantes,PRAIRIE AU DUC,12.0,2025-04-24,200,400
Donges,LA MEGRETAIS,2.6,2025-04-23,200,400
Frossay,FROSSAY,1.9,2025-04-23,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,1.8,2025-04-23,200,400
Trignac,JULES VERNE,2.0,2025-04-23,200,400
Cholet,SAINT EXUPERY,3.1,2025-04-23,200,400
Saint-Nazaire,LEON BLUM,3.2,2025-04-23,200,400
Angers,BEAUX ARTS,5.3,2025-04-23,200,400
Laval,MAZAGRAN,5.8,2025-04-23,200,400
La Tardière,LA TARDIERE,0.69,2025-04-23,200,400
Angers,APPENTIS,3.5,2025-04-23,200,400
La Roche-Sur-Yon,DELACROIX,3.0,2025-04-23,200,400
Le Mans,GUEDOU,4.5,2025-04-23,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.3,2025-04-23,200,400
Donges,PARSCAU DU PLESSIS,2.6,2025-04-23,200,400
Saint-Nazaire,PARC PAYSAGER,2.2,2025-04-23,200,400
Le Mans,SOURCES,4.5,2025-04-23,200,400
Nantes,CIM BOUTEILLERIE,3.9,2025-04-23,200,400
Bouguenais,LES COUETS,5.2,2025-04-23,200,400
Angers,ROI RENE,18.0,2025-04-23,200,400
Montoir-De-Bretagne,CAMEE,3.0,2025-04-23,200,400
Nantes,FRERES GONCOURT,15.0,2025-04-23,200,400
Laval,RUE DE LA PAIX,9.4,2025-04-23,200,400
Nantes,PRAIRIE AU DUC,5.6,2025-04-23,200,400
Donges,LA MEGRETAIS,5.8,2025-04-22,200,400
Frossay,FROSSAY,2.6,2025-04-22,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,2.5,2025-04-22,200,400
Trignac,JULES VERNE,5.2,2025-04-22,200,400
Cholet,SAINT EXUPERY,5.9,2025-04-22,200,400
Saint-Nazaire,LEON BLUM,5.1,2025-04-22,200,400
Angers,BEAUX ARTS,7.6,2025-04-22,200,400
Laval,MAZAGRAN,6.2,2025-04-22,200,400
La Tardière,LA TARDIERE,0.62,2025-04-22,200,400
Angers,APPENTIS,5.3,2025-04-22,200,400
La Roche-Sur-Yon,DELACROIX,4.0,2025-04-22,200,400
Le Mans,GUEDOU,9.2,2025-04-22,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.1,2025-04-22,200,400
Donges,PARSCAU DU PLESSIS,5.8,2025-04-22,200,400
Saint-Nazaire,PARC PAYSAGER,4.0,2025-04-22,200,400
Le Mans,SOURCES,7.3,2025-04-22,200,400
Nantes,CIM BOUTEILLERIE,4.9,2025-04-22,200,400
Bouguenais,LES COUETS,9.8,2025-04-22,200,400
Angers,ROI RENE,23.0,2025-04-22,200,400
Montoir-De-Bretagne,CAMEE,5.3,2025-04-22,200,400
Nantes,FRERES GONCOURT,19.0,2025-04-22,200,400
Laval,RUE DE LA PAIX,14.0,2025-04-22,200,400
Nantes,PRAIRIE AU DUC,7.2,2025-04-22,200,400
Donges,LA MEGRETAIS,3.5,2025-04-21,200,400
Frossay,FROSSAY,2.4,2025-04-21,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,2.1,2025-04-21,200,400
Trignac,JULES VERNE,3.0,2025-04-21,200,400
Cholet,SAINT EXUPERY,3.5,2025-04-21,200,400
Saint-Nazaire,LEON BLUM,3.2,2025-04-21,200,400
Angers,BEAUX ARTS,5.7,2025-04-21,200,400
Laval,MAZAGRAN,5.2,2025-04-21,200,400
La Tardière,LA TARDIERE,0.62,2025-04-21,200,400
Angers,APPENTIS,3.1,2025-04-21,200,400
La Roche-Sur-Yon,DELACROIX,2.6,2025-04-21,200,400
Le Mans,GUEDOU,5.7,2025-04-21,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.5,2025-04-21,200,400
Donges,PARSCAU DU PLESSIS,3.3,2025-04-21,200,400
Saint-Nazaire,PARC PAYSAGER,2.7,2025-04-21,200,400
Le Mans,SOURCES,4.9,2025-04-21,200,400
Nantes,CIM BOUTEILLERIE,4.9,2025-04-21,200,400
Bouguenais,LES COUETS,5.4,2025-04-21,200,400
Angers,ROI RENE,14.0,2025-04-21,200,400
Montoir-De-Bretagne,CAMEE,3.2,2025-04-21,200,400
Nantes,FRERES GONCOURT,19.0,2025-04-21,200,400
Laval,RUE DE LA PAIX,6.9,2025-04-21,200,400
Nantes,PRAIRIE AU DUC,7.3,2025-04-21,200,400
Donges,LA MEGRETAIS,3.8,2025-04-20,200,400
Frossay,FROSSAY,2.8,2025-04-20,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,2.9,2025-04-20,200,400
Trignac,JULES VERNE,6.5,2025-04-20,200,400
Cholet,SAINT EXUPERY,4.2,2025-04-20,200,400
Saint-Nazaire,LEON BLUM,7.0,2025-04-20,200,400
Angers,BEAUX ARTS,4.1,2025-04-20,200,400
Laval,MAZAGRAN,4.4,2025-04-20,200,400
La Tardière,LA TARDIERE,0.3,2025-04-20,200,400
Angers,APPENTIS,3.7,2025-04-20,200,400
La Roche-Sur-Yon,DELACROIX,3.6,2025-04-20,200,400
Le Mans,GUEDOU,4.5,2025-04-20,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.6,2025-04-20,200,400
Donges,PARSCAU DU PLESSIS,3.3,2025-04-20,200,400
Saint-Nazaire,PARC PAYSAGER,4.7,2025-04-20,200,400
Le Mans,SOURCES,2.9,2025-04-20,200,400
Nantes,CIM BOUTEILLERIE,4.7,2025-04-20,200,400
Bouguenais,LES COUETS,7.5,2025-04-20,200,400
Angers,ROI RENE,12.0,2025-04-20,200,400
Montoir-De-Bretagne,CAMEE,3.4,2025-04-20,200,400
Nantes,FRERES GONCOURT,9.2,2025-04-20,200,400
Laval,RUE DE LA PAIX,5.0,2025-04-20,200,400
Nantes,PRAIRIE AU DUC,6.6,2025-04-20,200,400
Donges,LA MEGRETAIS,4.1,2025-04-19,200,400
Frossay,FROSSAY,3.1,2025-04-19,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.5,2025-04-19,200,400
Trignac,JULES VERNE,7.4,2025-04-19,200,400
Cholet,SAINT EXUPERY,6.5,2025-04-19,200,400
Saint-Nazaire,LEON BLUM,5.5,2025-04-19,200,400
Angers,BEAUX ARTS,7.5,2025-04-19,200,400
Laval,MAZAGRAN,7.3,2025-04-19,200,400
La Tardière,LA TARDIERE,1.1,2025-04-19,200,400
Angers,APPENTIS,6.7,2025-04-19,200,400
La Roche-Sur-Yon,DELACROIX,4.3,2025-04-19,200,400
