commune,station,pm10_value,date_local,seuil_info_recommandation,seuil_alerte
Donges,LA MEGRETAIS,10.0,2025-05-31,50,80
Frossay,FROSSAY,10.0,2025-05-31,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,9.6,2025-05-31,50,80
Cholet,SAINT EXUPERY,13.0,2025-05-31,50,80
Saint-Nazaire,LEON BLUM,9.3,2025-05-31,50,80
Angers,BEAUX ARTS,12.0,2025-05-31,50,80
Laval,MAZAGRAN,11.0,2025-05-31,50,80
La Tardière,LA TARDIERE,12.0,2025-05-31,50,80
La Roche-Sur-Yon,DELACROIX,9.9,2025-05-31,50,80
Le Mans,GUEDOU,11.0,2025-05-31,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,12.0,2025-05-31,50,80
Donges,PARSCAU DU PLESSIS,9.4,2025-05-31,50,80
Le Mans,SOURCES,11.0,2025-05-31,50,80
Nantes,CIM BOUTEILLERIE,9.9,2025-05-31,50,80
Rezé,TRENTEMOULT,19.0,2025-05-31,50,80
Bouguenais,LES COUETS,10.0,2025-05-31,50,80
Angers,ROI RENE,15.0,2025-05-31,50,80
Montoir-De-Bretagne,CAMEE,8.8,2025-05-31,50,80
Nantes,PRAIRIE AU DUC,11.0,2025-05-31,50,80
Donges,LA MEGRETAIS,7.6,2025-05-30,50,80
Frossay,FROSSAY,7.5,2025-05-30,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,7.0,2025-05-30,50,80
Cholet,SAINT EXUPERY,8.4,2025-05-30,50,80
Saint-Nazaire,LEON BLUM,7.4,2025-05-30,50,80
Angers,BEAUX ARTS,10.0,2025-05-30,50,80
Laval,MAZAGRAN,11.0,2025-05-30,50,80
La Tardière,LA TARDIERE,9.9,2025-05-30,50,80
La Roche-Sur-Yon,DELACROIX,9.4,2025-05-30,50,80
Le Mans,GUEDOU,10.0,2025-05-30,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,13.0,2025-05-30,50,80
Donges,PARSCAU DU PLESSIS,7.4,2025-05-30,50,80
Le Mans,SOURCES,9.6,2025-05-30,50,80
Nantes,CIM BOUTEILLERIE,7.8,2025-05-30,50,80
Rezé,TRENTEMOULT,13.0,2025-05-30,50,80
Bouguenais,LES COUETS,8.5,2025-05-30,50,80
Angers,ROI RENE,16.0,2025-05-30,50,80
Montoir-De-Bretagne,CAMEE,7.9,2025-05-30,50,80
Nantes,PRAIRIE AU DUC,9.8,2025-05-30,50,80
Donges,LA MEGRETAIS,2.7,2025-05-29,50,80
Frossay,FROSSAY,3.0,2025-05-29,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.3,2025-05-29,50,80
Cholet,SAINT EXUPERY,6.4,2025-05-29,50,80
Saint-Nazaire,LEON BLUM,2.6,2025-05-29,50,80
Angers,BEAUX ARTS,6.5,2025-05-29,50,80
Laval,MAZAGRAN,7.2,2025-05-29,50,80
La Tardière,LA TARDIERE,4.1,2025-05-29,50,80
La Roche-Sur-Yon,DELACROIX,3.7,2025-05-29,50,80
Le Mans,GUEDOU,8.1,2025-05-29,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,6.8,2025-05-29,50,80
Donges,PARSCAU DU PLESSIS,3.0,2025-05-29,50,80
Le Mans,SOURCES,7.5,2025-05-29,50,80
Nantes,CIM BOUTEILLERIE,3.6,2025-05-29,50,80
Rezé,TRENTEMOULT,7.8,2025-05-29,50,80
Bouguenais,LES COUETS,3.9,2025-05-29,50,80
Angers,ROI RENE,10.0,2025-05-29,50,80
Montoir-De-Bretagne,CAMEE,2.3,2025-05-29,50,80
Nantes,PRAIRIE AU DUC,4.3,2025-05-29,50,80
Donges,LA MEGRETAIS,7.7,2025-05-28,50,80
Frossay,FROSSAY,7.6,2025-05-28,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,7.1,2025-05-28,50,80
Cholet,SAINT EXUPERY,8.5,2025-05-28,50,80
Saint-Nazaire,LEON BLUM,8.4,2025-05-28,50,80
Angers,BEAUX ARTS,9.5,2025-05-28,50,80
Laval,MAZAGRAN,8.5,2025-05-28,50,80
La Tardière,LA TARDIERE,6.1,2025-05-28,50,80
La Roche-Sur-Yon,DELACROIX,6.6,2025-05-28,50,80
Le Mans,GUEDOU,8.1,2025-05-28,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,7.9,2025-05-28,50,80
Donges,PARSCAU DU PLESSIS,9.2,2025-05-28,50,80
Le Mans,SOURCES,8.7,2025-05-28,50,80
Nantes,CIM BOUTEILLERIE,6.8,2025-05-28,50,80
Rezé,TRENTEMOULT,12.0,2025-05-28,50,80
Bouguenais,LES COUETS,6.7,2025-05-28,50,80
Angers,ROI RENE,13.0,2025-05-28,50,80
Montoir-De-Bretagne,CAMEE,6.4,2025-05-28,50,80
Nantes,PRAIRIE AU DUC,15.0,2025-05-28,50,80
Donges,LA MEGRETAIS,12.0,2025-05-27,50,80
Frossay,FROSSAY,11.0,2025-05-27,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,11.0,2025-05-27,50,80
Cholet,SAINT EXUPERY,14.0,2025-05-27,50,80
Saint-Nazaire,LEON BLUM,12.0,2025-05-27,50,80
Angers,BEAUX ARTS,12.0,2025-05-27,50,80
Laval,MAZAGRAN,12.0,2025-05-27,50,80
La Tardière,LA TARDIERE,8.4,2025-05-27,50,80
La Roche-Sur-Yon,DELACROIX,10.0,2025-05-27,50,80
Le Mans,GUEDOU,12.0,2025-05-27,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,12.0,2025-05-27,50,80
Donges,PARSCAU DU PLESSIS,12.0,2025-05-27,50,80
Le Mans,SOURCES,12.0,2025-05-27,50,80
Nantes,CIM BOUTEILLERIE,12.0,2025-05-27,50,80
Rezé,TRENTEMOULT,16.0,2025-05-27,50,80
Bouguenais,LES COUETS,11.0,2025-05-27,50,80
Angers,ROI RENE,15.0,2025-05-27,50,80
Montoir-De-Bretagne,CAMEE,11.0,2025-05-27,50,80
Nantes,PRAIRIE AU DUC,26.0,2025-05-27,50,80
Donges,LA MEGRETAIS,13.0,2025-05-26,50,80
Frossay,FROSSAY,13.0,2025-05-26,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,12.0,2025-05-26,50,80
Cholet,SAINT EXUPERY,17.0,2025-05-26,50,80
Saint-Nazaire,LEON BLUM,13.0,2025-05-26,50,80
Angers,BEAUX ARTS,13.0,2025-05-26,50,80
Laval,MAZAGRAN,13.0,2025-05-26,50,80
La Tardière,LA TARDIERE,11.0,2025-05-26,50,80
La Roche-Sur-Yon,DELACROIX,12.0,2025-05-26,50,80
Le Mans,GUEDOU,16.0,2025-05-26,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,11.0,2025-05-26,50,80
Donges,PARSCAU DU PLESSIS,14.0,2025-05-26,50,80
Le Mans,SOURCES,12.0,2025-05-26,50,80
Nantes,CIM BOUTEILLERIE,13.0,2025-05-26,50,80
Rezé,TRENTEMOULT,19.0,2025-05-26,50,80
Bouguenais,LES COUETS,14.0,2025-05-26,50,80
Angers,ROI RENE,17.0,2025-05-26,50,80
Montoir-De-Bretagne,CAMEE,11.0,2025-05-26,50,80
Nantes,PRAIRIE AU DUC,23.0,2025-05-26,50,80
Donges,LA MEGRETAIS,9.3,2025-05-25,50,80
Frossay,FROSSAY,10.0,2025-05-25,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,9.3,2025-05-25,50,80
Cholet,SAINT EXUPERY,9.3,2025-05-25,50,80
Saint-Nazaire,LEON BLUM,11.0,2025-05-25,50,80
Angers,BEAUX ARTS,7.2,2025-05-25,50,80
Laval,MAZAGRAN,8.2,2025-05-25,50,80
La Tardière,LA TARDIERE,6.5,2025-05-25,50,80
La Roche-Sur-Yon,DELACROIX,7.6,2025-05-25,50,80
Le Mans,GUEDOU,6.7,2025-05-25,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,7.7,2025-05-25,50,80
Donges,PARSCAU DU PLESSIS,8.4,2025-05-25,50,80
Le Mans,SOURCES,6.7,2025-05-25,50,80
Nantes,CIM BOUTEILLERIE,7.9,2025-05-25,50,80
Rezé,TRENTEMOULT,13.0,2025-05-25,50,80
Bouguenais,LES COUETS,8.2,2025-05-25,50,80
Angers,ROI RENE,9.8,2025-05-25,50,80
Montoir-De-Bretagne,CAMEE,8.4,2025-05-25,50,80
Nantes,FRERES GONCOURT,15.0,2025-05-25,50,80
Nantes,PRAIRIE AU DUC,9.0,2025-05-25,50,80
Donges,LA MEGRETAIS,8.2,2025-05-24,50,80
Frossay,FROSSAY,8.7,2025-05-24,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,9.1,2025-05-24,50,80
Cholet,SAINT EXUPERY,15.0,2025-05-24,50,80
Saint-Nazaire,LEON BLUM,7.8,2025-05-24,50,80
Angers,BEAUX ARTS,12.0,2025-05-24,50,80
Laval,MAZAGRAN,11.0,2025-05-24,50,80
La Tardière,LA TARDIERE,10.0,2025-05-24,50,80
La Roche-Sur-Yon,DELACROIX,10.0,2025-05-24,50,80
Le Mans,GUEDOU,10.0,2025-05-24,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,11.0,2025-05-24,50,80
Donges,PARSCAU DU PLESSIS,7.6,2025-05-24,50,80
Le Mans,SOURCES,10.0,2025-05-24,50,80
Nantes,CIM BOUTEILLERIE,8.7,2025-05-24,50,80
Rezé,TRENTEMOULT,14.0,2025-05-24,50,80
Bouguenais,LES COUETS,8.7,2025-05-24,50,80
Angers,ROI RENE,15.0,2025-05-24,50,80
Montoir-De-Bretagne,CAMEE,7.1,2025-05-24,50,80
Nantes,FRERES GONCOURT,16.0,2025-05-24,50,80
Nantes,PRAIRIE AU DUC,11.0,2025-05-24,50,80
Donges,LA MEGRETAIS,14.0,2025-05-23,50,80
Frossay,FROSSAY,13.0,2025-05-23,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,11.0,2025-05-23,50,80
Cholet,SAINT EXUPERY,15.0,2025-05-23,50,80
Saint-Nazaire,LEON BLUM,13.0,2025-05-23,50,80
Angers,BEAUX ARTS,14.0,2025-05-23,50,80
Laval,MAZAGRAN,16.0,2025-05-23,50,80
La Tardière,LA TARDIERE,11.0,2025-05-23,50,80
La Roche-Sur-Yon,DELACROIX,11.0,2025-05-23,50,80
Le Mans,GUEDOU,13.0,2025-05-23,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,13.0,2025-05-23,50,80
Donges,PARSCAU DU PLESSIS,17.0,2025-05-23,50,80
Le Mans,SOURCES,13.0,2025-05-23,50,80
Nantes,CIM BOUTEILLERIE,12.0,2025-05-23,50,80
Rezé,TRENTEMOULT,17.0,2025-05-23,50,80
Bouguenais,LES COUETS,14.0,2025-05-23,50,80
Angers,ROI RENE,18.0,2025-05-23,50,80
Montoir-De-Bretagne,CAMEE,12.0,2025-05-23,50,80
Nantes,FRERES GONCOURT,16.0,2025-05-23,50,80
Nantes,PRAIRIE AU DUC,14.0,2025-05-23,50,80
Donges,LA MEGRETAIS,14.0,2025-05-22,50,80
Frossay,FROSSAY,15.0,2025-05-22,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,11.0,2025-05-22,50,80
Cholet,SAINT EXUPERY,13.0,2025-05-22,50,80
Saint-Nazaire,LEON BLUM,13.0,2025-05-22,50,80
Angers,BEAUX ARTS,11.0,2025-05-22,50,80
Laval,MAZAGRAN,13.0,2025-05-22,50,80
La Tardière,LA TARDIERE,9.8,2025-05-22,50,80
La Roche-Sur-Yon,DELACROIX,10.0,2025-05-22,50,80
Le Mans,GUEDOU,11.0,2025-05-22,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,10.0,2025-05-22,50,80
Donges,PARSCAU DU PLESSIS,16.0,2025-05-22,50,80
Le Mans,SOURCES,11.0,2025-05-22,50,80
Nantes,CIM BOUTEILLERIE,10.0,2025-05-22,50,80
Rezé,TRENTEMOULT,17.0,2025-05-22,50,80
Bouguenais,LES COUETS,14.0,2025-05-22,50,80
Angers,ROI RENE,14.0,2025-05-22,50,80
Montoir-De-Bretagne,CAMEE,11.0,2025-05-22,50,80
Nantes,FRERES GONCOURT,15.0,2025-05-22,50,80
Nantes,PRAIRIE AU DUC,20.0,2025-05-22,50,80
Donges,LA MEGRETAIS,14.0,2025-05-21,50,80
Frossay,FROSSAY,12.0,2025-05-21,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,11.0,2025-05-21,50,80
Cholet,SAINT EXUPERY,16.0,2025-05-21,50,80
Angers,BEAUX ARTS,14.0,2025-05-21,50,80
Laval,MAZAGRAN,14.0,2025-05-21,50,80
La Tardière,LA TARDIERE,12.0,2025-05-21,50,80
La Roche-Sur-Yon,DELACROIX,12.0,2025-05-21,50,80
Le Mans,GUEDOU,14.0,2025-05-21,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,13.0,2025-05-21,50,80
Donges,PARSCAU DU PLESSIS,14.0,2025-05-21,50,80
Le Mans,SOURCES,13.0,2025-05-21,50,80
Nantes,CIM BOUTEILLERIE,12.0,2025-05-21,50,80
Rezé,TRENTEMOULT,18.0,2025-05-21,50,80
Bouguenais,LES COUETS,13.0,2025-05-21,50,80
Angers,ROI RENE,16.0,2025-05-21,50,80
Montoir-De-Bretagne,CAMEE,11.0,2025-05-21,50,80
Nantes,FRERES GONCOURT,20.0,2025-05-21,50,80
Nantes,PRAIRIE AU DUC,26.0,2025-05-21,50,80
Donges,LA MEGRETAIS,18.0,2025-05-20,50,80
Frossay,FROSSAY,17.0,2025-05-20,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,15.0,2025-05-20,50,80
Cholet,SAINT EXUPERY,19.0,2025-05-20,50,80
Angers,BEAUX ARTS,18.0,2025-05-20,50,80
Laval,MAZAGRAN,20.0,2025-05-20,50,80
La Tardière,LA TARDIERE,14.0,2025-05-20,50,80
La Roche-Sur-Yon,DELACROIX,16.0,2025-05-20,50,80
Le Mans,GUEDOU,16.0,2025-05-20,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,17.0,2025-05-20,50,80
Donges,PARSCAU DU PLESSIS,18.0,2025-05-20,50,80
Le Mans,SOURCES,15.0,2025-05-20,50,80
Nantes,CIM BOUTEILLERIE,16.0,2025-05-20,50,80
Rezé,TRENTEMOULT,22.0,2025-05-20,50,80
Bouguenais,LES COUETS,18.0,2025-05-20,50,80
Montoir-De-Bretagne,CAMEE,15.0,2025-05-20,50,80
Nantes,FRERES GONCOURT,23.0,2025-05-20,50,80
Nantes,PRAIRIE AU DUC,27.0,2025-05-20,50,80
Donges,LA MEGRETAIS,14.0,2025-05-19,50,80
Frossay,FROSSAY,14.0,2025-05-19,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,14.0,2025-05-19,50,80
Cholet,SAINT EXUPERY,16.0,2025-05-19,50,80
Saint-Nazaire,LEON BLUM,14.0,2025-05-19,50,80
Angers,BEAUX ARTS,13.0,2025-05-19,50,80
Laval,MAZAGRAN,15.0,2025-05-19,50,80
La Tardière,LA TARDIERE,14.0,2025-05-19,50,80
La Roche-Sur-Yon,DELACROIX,13.0,2025-05-19,50,80
Le Mans,GUEDOU,12.0,2025-05-19,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,13.0,2025-05-19,50,80
Donges,PARSCAU DU PLESSIS,13.0,2025-05-19,50,80
Le Mans,SOURCES,12.0,2025-05-19,50,80
Nantes,CIM BOUTEILLERIE,15.0,2025-05-19,50,80
Rezé,TRENTEMOULT,19.0,2025-05-19,50,80
Bouguenais,LES COUETS,16.0,2025-05-19,50,80
Montoir-De-Bretagne,CAMEE,14.0,2025-05-19,50,80
Nantes,FRERES GONCOURT,22.0,2025-05-19,50,80
Nantes,PRAIRIE AU DUC,19.0,2025-05-19,50,80
Donges,LA MEGRETAIS,12.0,2025-05-18,50,80
Frossay,FROSSAY,12.0,2025-05-18,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,12.0,2025-05-18,50,80
Cholet,SAINT EXUPERY,16.0,2025-05-18,50,80
Saint-Nazaire,LEON BLUM,13.0,2025-05-18,50,80
Angers,BEAUX ARTS,12.0,2025-05-18,50,80
Laval,MAZAGRAN,13.0,2025-05-18,50,80
La Tardière,LA TARDIERE,13.0,2025-05-18,50,80
La Roche-Sur-Yon,DELACROIX,13.0,2025-05-18,50,80
Le Mans,GUEDOU,11.0,2025-05-18,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,12.0,2025-05-18,50,80
Donges,PARSCAU DU PLESSIS,11.0,2025-05-18,50,80
Le Mans,SOURCES,11.0,2025-05-18,50,80
Nantes,CIM BOUTEILLERIE,13.0,2025-05-18,50,80
Rezé,TRENTEMOULT,19.0,2025-05-18,50,80
Bouguenais,LES COUETS,12.0,2025-05-18,50,80
Angers,ROI RENE,16.0,2025-05-18,50,80
Montoir-De-Bretagne,CAMEE,11.0,2025-05-18,50,80
Nantes,FRERES GONCOURT,20.0,2025-05-18,50,80
Nantes,PRAIRIE AU DUC,14.0,2025-05-18,50,80
Donges,LA MEGRETAIS,15.0,2025-05-17,50,80
Frossay,FROSSAY,15.0,2025-05-17,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,14.0,2025-05-17,50,80
Cholet,SAINT EXUPERY,17.0,2025-05-17,50,80
Saint-Nazaire,LEON BLUM,15.0,2025-05-17,50,80
Angers,BEAUX ARTS,16.0,2025-05-17,50,80
Laval,MAZAGRAN,16.0,2025-05-17,50,80
La Tardière,LA TARDIERE,14.0,2025-05-17,50,80
La Roche-Sur-Yon,DELACROIX,14.0,2025-05-17,50,80
Le Mans,GUEDOU,15.0,2025-05-17,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,15.0,2025-05-17,50,80
Donges,PARSCAU DU PLESSIS,14.0,2025-05-17,50,80
Le Mans,SOURCES,14.0,2025-05-17,50,80
Nantes,CIM BOUTEILLERIE,14.0,2025-05-17,50,80
Rezé,TRENTEMOULT,20.0,2025-05-17,50,80
Bouguenais,LES COUETS,15.0,2025-05-17,50,80
Angers,ROI RENE,18.0,2025-05-17,50,80
Montoir-De-Bretagne,CAMEE,14.0,2025-05-17,50,80
Nantes,FRERES GONCOURT,20.0,2025-05-17,50,80
Nantes,PRAIRIE AU DUC,16.0,2025-05-17,50,80
Donges,LA MEGRETAIS,15.0,2025-05-16,50,80
Frossay,FROSSAY,15.0,2025-05-16,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,15.0,2025-05-16,50,80
Cholet,SAINT EXUPERY,20.0,2025-05-16,50,80
Saint-Nazaire,LEON BLUM,15.0,2025-05-16,50,80
Angers,BEAUX ARTS,15.0,2025-05-16,50,80
Laval,MAZAGRAN,16.0,2025-05-16,50,80
La Tardière,LA TARDIERE,14.0,2025-05-16,50,80
La Roche-Sur-Yon,DELACROIX,16.0,2025-05-16,50,80
Le Mans,GUEDOU,14.0,2025-05-16,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,14.0,2025-05-16,50,80
Donges,PARSCAU DU PLESSIS,13.0,2025-05-16,50,80
Le Mans,SOURCES,14.0,2025-05-16,50,80
Nantes,CIM BOUTEILLERIE,16.0,2025-05-16,50,80
Rezé,TRENTEMOULT,24.0,2025-05-16,50,80
Bouguenais,LES COUETS,16.0,2025-05-16,50,80
Angers,ROI RENE,20.0,2025-05-16,50,80
Montoir-De-Bretagne,CAMEE,15.0,2025-05-16,50,80
Nantes,FRERES GONCOURT,21.0,2025-05-16,50,80
Nantes,PRAIRIE AU DUC,18.0,2025-05-16,50,80
Donges,LA MEGRETAIS,18.0,2025-05-15,50,80
Frossay,FROSSAY,17.0,2025-05-15,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,16.0,2025-05-15,50,80
Cholet,SAINT EXUPERY,19.0,2025-05-15,50,80
Saint-Nazaire,LEON BLUM,17.0,2025-05-15,50,80
Angers,BEAUX ARTS,16.0,2025-05-15,50,80
Laval,MAZAGRAN,17.0,2025-05-15,50,80
La Tardière,LA TARDIERE,15.0,2025-05-15,50,80
La Roche-Sur-Yon,DELACROIX,17.0,2025-05-15,50,80
Le Mans,GUEDOU,15.0,2025-05-15,50,80
