commune,station,pm10_value,date_local,seuil_info_recommandation,seuil_alerte
Bouguenais,LES COUETS,9.6,2025-04-29,50,80
Angers,ROI RENE,16.0,2025-04-29,50,80
Montoir-De-Bretagne,CAMEE,11.0,2025-04-29,50,80
Nantes,FRERES GONCOURT,18.0,2025-04-29,50,80
Nantes,PRAIRIE AU DUC,14.0,2025-04-29,50,80
Donges,LA MEGRETAIS,17.0,2025-04-28,50,80
Frossay,FROSSAY,17.0,2025-04-28,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,16.0,2025-04-28,50,80
Cholet,SAINT EXUPERY,15.0,2025-04-28,50,80
Saint-Nazaire,LEON BLUM,16.0,2025-04-28,50,80
Angers,BEAUX ARTS,17.0,2025-04-28,50,80
Laval,MAZAGRAN,22.0,2025-04-28,50,80
La Tardière,LA TARDIERE,15.0,2025-04-28,50,80
La Roche-Sur-Yon,DELACROIX,15.0,2025-04-28,50,80
Le Mans,GUEDOU,17.0,2025-04-28,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,17.0,2025-04-28,50,80
Donges,PARSCAU DU PLESSIS,15.0,2025-04-28,50,80
Le Mans,SOURCES,16.0,2025-04-28,50,80
Nantes,CIM BOUTEILLERIE,17.0,2025-04-28,50,80
Rezé,TRENTEMOULT,23.0,2025-04-28,50,80
Bouguenais,LES COUETS,18.0,2025-04-28,50,80
Angers,ROI RENE,19.0,2025-04-28,50,80
Montoir-De-Bretagne,CAMEE,16.0,2025-04-28,50,80
Nantes,FRERES GONCOURT,23.0,2025-04-28,50,80
Nantes,PRAIRIE AU DUC,21.0,2025-04-28,50,80
Donges,LA MEGRETAIS,23.0,2025-04-27,50,80
Frossay,FROSSAY,24.0,2025-04-27,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,23.0,2025-04-27,50,80
Cholet,SAINT EXUPERY,24.0,2025-04-27,50,80
Saint-Nazaire,LEON BLUM,23.0,2025-04-27,50,80
Angers,BEAUX ARTS,27.0,2025-04-27,50,80
Laval,MAZAGRAN,28.0,2025-04-27,50,80
La Tardière,LA TARDIERE,22.0,2025-04-27,50,80
La Roche-Sur-Yon,DELACROIX,24.0,2025-04-27,50,80
Le Mans,GUEDOU,28.0,2025-04-27,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,22.0,2025-04-27,50,80
Donges,PARSCAU DU PLESSIS,22.0,2025-04-27,50,80
Le Mans,SOURCES,26.0,2025-04-27,50,80
Nantes,CIM BOUTEILLERIE,24.0,2025-04-27,50,80
Rezé,TRENTEMOULT,30.0,2025-04-27,50,80
Bouguenais,LES COUETS,25.0,2025-04-27,50,80
Angers,ROI RENE,24.0,2025-04-27,50,80
Montoir-De-Bretagne,CAMEE,21.0,2025-04-27,50,80
Nantes,FRERES GONCOURT,28.0,2025-04-27,50,80
Nantes,PRAIRIE AU DUC,26.0,2025-04-27,50,80
Donges,LA MEGRETAIS,19.0,2025-04-26,50,80
Frossay,FROSSAY,19.0,2025-04-26,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,22.0,2025-04-26,50,80
Cholet,SAINT EXUPERY,25.0,2025-04-26,50,80
Saint-Nazaire,LEON BLUM,17.0,2025-04-26,50,80
Angers,BEAUX ARTS,26.0,2025-04-26,50,80
Laval,MAZAGRAN,26.0,2025-04-26,50,80
La Tardière,LA TARDIERE,21.0,2025-04-26,50,80
La Roche-Sur-Yon,DELACROIX,21.0,2025-04-26,50,80
Le Mans,GUEDOU,24.0,2025-04-26,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,20.0,2025-04-26,50,80
Donges,PARSCAU DU PLESSIS,17.0,2025-04-26,50,80
Le Mans,SOURCES,22.0,2025-04-26,50,80
Nantes,CIM BOUTEILLERIE,23.0,2025-04-26,50,80
Rezé,TRENTEMOULT,28.0,2025-04-26,50,80
Bouguenais,LES COUETS,24.0,2025-04-26,50,80
Angers,ROI RENE,26.0,2025-04-26,50,80
Montoir-De-Bretagne,CAMEE,17.0,2025-04-26,50,80
Nantes,FRERES GONCOURT,25.0,2025-04-26,50,80
Nantes,PRAIRIE AU DUC,25.0,2025-04-26,50,80
Donges,LA MEGRETAIS,13.0,2025-04-25,50,80
Frossay,FROSSAY,15.0,2025-04-25,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,14.0,2025-04-25,50,80
Cholet,SAINT EXUPERY,16.0,2025-04-25,50,80
Saint-Nazaire,LEON BLUM,14.0,2025-04-25,50,80
Angers,BEAUX ARTS,17.0,2025-04-25,50,80
Laval,MAZAGRAN,17.0,2025-04-25,50,80
La Tardière,LA TARDIERE,13.0,2025-04-25,50,80
La Roche-Sur-Yon,DELACROIX,11.0,2025-04-25,50,80
Le Mans,GUEDOU,16.0,2025-04-25,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,17.0,2025-04-25,50,80
Donges,PARSCAU DU PLESSIS,12.0,2025-04-25,50,80
Le Mans,SOURCES,15.0,2025-04-25,50,80
Nantes,CIM BOUTEILLERIE,16.0,2025-04-25,50,80
Rezé,TRENTEMOULT,20.0,2025-04-25,50,80
Bouguenais,LES COUETS,16.0,2025-04-25,50,80
Angers,ROI RENE,19.0,2025-04-25,50,80
Montoir-De-Bretagne,CAMEE,13.0,2025-04-25,50,80
Nantes,FRERES GONCOURT,21.0,2025-04-25,50,80
Nantes,PRAIRIE AU DUC,19.0,2025-04-25,50,80
Donges,LA MEGRETAIS,5.5,2025-04-24,50,80
Frossay,FROSSAY,7.0,2025-04-24,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,5.7,2025-04-24,50,80
Cholet,SAINT EXUPERY,11.0,2025-04-24,50,80
Saint-Nazaire,LEON BLUM,4.6,2025-04-24,50,80
Angers,BEAUX ARTS,11.0,2025-04-24,50,80
Laval,MAZAGRAN,14.0,2025-04-24,50,80
La Tardière,LA TARDIERE,7.9,2025-04-24,50,80
La Roche-Sur-Yon,DELACROIX,6.4,2025-04-24,50,80
Le Mans,GUEDOU,11.0,2025-04-24,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,9.9,2025-04-24,50,80
Donges,PARSCAU DU PLESSIS,6.2,2025-04-24,50,80
Le Mans,SOURCES,11.0,2025-04-24,50,80
Nantes,CIM BOUTEILLERIE,8.1,2025-04-24,50,80
Rezé,TRENTEMOULT,12.0,2025-04-24,50,80
Bouguenais,LES COUETS,10.0,2025-04-24,50,80
Angers,ROI RENE,15.0,2025-04-24,50,80
Montoir-De-Bretagne,CAMEE,4.6,2025-04-24,50,80
Nantes,FRERES GONCOURT,12.0,2025-04-24,50,80
Nantes,PRAIRIE AU DUC,9.9,2025-04-24,50,80
Donges,LA MEGRETAIS,7.7,2025-04-23,50,80
Frossay,FROSSAY,9.0,2025-04-23,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,9.3,2025-04-23,50,80
Cholet,SAINT EXUPERY,12.0,2025-04-23,50,80
Saint-Nazaire,LEON BLUM,10.0,2025-04-23,50,80
Angers,BEAUX ARTS,6.7,2025-04-23,50,80
Laval,MAZAGRAN,7.3,2025-04-23,50,80
La Tardière,LA TARDIERE,7.9,2025-04-23,50,80
La Roche-Sur-Yon,DELACROIX,8.5,2025-04-23,50,80
Le Mans,GUEDOU,5.8,2025-04-23,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,5.8,2025-04-23,50,80
Donges,PARSCAU DU PLESSIS,8.9,2025-04-23,50,80
Le Mans,SOURCES,5.6,2025-04-23,50,80
Nantes,CIM BOUTEILLERIE,8.2,2025-04-23,50,80
Rezé,TRENTEMOULT,14.0,2025-04-23,50,80
Bouguenais,LES COUETS,10.0,2025-04-23,50,80
Angers,ROI RENE,11.0,2025-04-23,50,80
Montoir-De-Bretagne,CAMEE,8.7,2025-04-23,50,80
Nantes,FRERES GONCOURT,15.0,2025-04-23,50,80
Nantes,PRAIRIE AU DUC,9.8,2025-04-23,50,80
Donges,LA MEGRETAIS,7.4,2025-04-22,50,80
Frossay,FROSSAY,9.0,2025-04-22,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,8.8,2025-04-22,50,80
Cholet,SAINT EXUPERY,14.0,2025-04-22,50,80
Saint-Nazaire,LEON BLUM,8.8,2025-04-22,50,80
Angers,BEAUX ARTS,8.4,2025-04-22,50,80
Laval,MAZAGRAN,10.0,2025-04-22,50,80
La Tardière,LA TARDIERE,9.3,2025-04-22,50,80
La Roche-Sur-Yon,DELACROIX,9.5,2025-04-22,50,80
Le Mans,GUEDOU,8.3,2025-04-22,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,8.1,2025-04-22,50,80
Donges,PARSCAU DU PLESSIS,9.6,2025-04-22,50,80
Le Mans,SOURCES,7.9,2025-04-22,50,80
Nantes,CIM BOUTEILLERIE,8.8,2025-04-22,50,80
Rezé,TRENTEMOULT,15.0,2025-04-22,50,80
Bouguenais,LES COUETS,11.0,2025-04-22,50,80
Angers,ROI RENE,13.0,2025-04-22,50,80
Montoir-De-Bretagne,CAMEE,9.1,2025-04-22,50,80
Nantes,FRERES GONCOURT,17.0,2025-04-22,50,80
Nantes,PRAIRIE AU DUC,10.0,2025-04-22,50,80
Donges,LA MEGRETAIS,9.2,2025-04-21,50,80
Frossay,FROSSAY,11.0,2025-04-21,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,11.0,2025-04-21,50,80
Cholet,SAINT EXUPERY,12.0,2025-04-21,50,80
Saint-Nazaire,LEON BLUM,12.0,2025-04-21,50,80
Angers,BEAUX ARTS,8.7,2025-04-21,50,80
Laval,MAZAGRAN,11.0,2025-04-21,50,80
La Tardière,LA TARDIERE,9.9,2025-04-21,50,80
La Roche-Sur-Yon,DELACROIX,11.0,2025-04-21,50,80
Le Mans,GUEDOU,8.1,2025-04-21,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,8.7,2025-04-21,50,80
Donges,PARSCAU DU PLESSIS,10.0,2025-04-21,50,80
Le Mans,SOURCES,7.7,2025-04-21,50,80
Nantes,CIM BOUTEILLERIE,11.0,2025-04-21,50,80
Rezé,TRENTEMOULT,17.0,2025-04-21,50,80
Bouguenais,LES COUETS,11.0,2025-04-21,50,80
Angers,ROI RENE,13.0,2025-04-21,50,80
Montoir-De-Bretagne,CAMEE,10.0,2025-04-21,50,80
Nantes,FRERES GONCOURT,19.0,2025-04-21,50,80
Nantes,PRAIRIE AU DUC,12.0,2025-04-21,50,80
Donges,LA MEGRETAIS,9.4,2025-04-20,50,80
Frossay,FROSSAY,8.0,2025-04-20,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,6.5,2025-04-20,50,80
Cholet,SAINT EXUPERY,6.5,2025-04-20,50,80
Saint-Nazaire,LEON BLUM,11.0,2025-04-20,50,80
Angers,BEAUX ARTS,3.3,2025-04-20,50,80
Laval,MAZAGRAN,3.9,2025-04-20,50,80
La Tardière,LA TARDIERE,2.9,2025-04-20,50,80
La Roche-Sur-Yon,DELACROIX,5.7,2025-04-20,50,80
Le Mans,GUEDOU,2.5,2025-04-20,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.9,2025-04-20,50,80
Donges,PARSCAU DU PLESSIS,8.4,2025-04-20,50,80
Le Mans,SOURCES,2.3,2025-04-20,50,80
Nantes,CIM BOUTEILLERIE,5.5,2025-04-20,50,80
Rezé,TRENTEMOULT,10.0,2025-04-20,50,80
Bouguenais,LES COUETS,6.5,2025-04-20,50,80
Angers,ROI RENE,5.9,2025-04-20,50,80
Montoir-De-Bretagne,CAMEE,9.1,2025-04-20,50,80
Nantes,FRERES GONCOURT,9.1,2025-04-20,50,80
Nantes,PRAIRIE AU DUC,6.5,2025-04-20,50,80
Donges,LA MEGRETAIS,4.8,2025-04-19,50,80
Frossay,FROSSAY,5.2,2025-04-19,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,6.6,2025-04-19,50,80
Cholet,SAINT EXUPERY,5.6,2025-04-19,50,80
Saint-Nazaire,LEON BLUM,5.9,2025-04-19,50,80
Angers,BEAUX ARTS,6.7,2025-04-19,50,80
Laval,MAZAGRAN,8.8,2025-04-19,50,80
La Tardière,LA TARDIERE,4.8,2025-04-19,50,80
La Roche-Sur-Yon,DELACROIX,5.5,2025-04-19,50,80
Le Mans,GUEDOU,6.4,2025-04-19,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,6.9,2025-04-19,50,80
Donges,PARSCAU DU PLESSIS,5.0,2025-04-19,50,80
Le Mans,SOURCES,6.0,2025-04-19,50,80
Nantes,CIM BOUTEILLERIE,5.5,2025-04-19,50,80
Rezé,TRENTEMOULT,9.1,2025-04-19,50,80
Bouguenais,LES COUETS,7.9,2025-04-19,50,80
Angers,ROI RENE,8.2,2025-04-19,50,80
Montoir-De-Bretagne,CAMEE,4.9,2025-04-19,50,80
Nantes,FRERES GONCOURT,10.0,2025-04-19,50,80
Nantes,PRAIRIE AU DUC,6.0,2025-04-19,50,80
Donges,LA MEGRETAIS,6.0,2025-04-18,50,80
Frossay,FROSSAY,7.3,2025-04-18,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,7.9,2025-04-18,50,80
Cholet,SAINT EXUPERY,7.9,2025-04-18,50,80
Saint-Nazaire,LEON BLUM,7.9,2025-04-18,50,80
Angers,BEAUX ARTS,7.6,2025-04-18,50,80
Laval,MAZAGRAN,8.0,2025-04-18,50,80
La Tardière,LA TARDIERE,6.7,2025-04-18,50,80
La Roche-Sur-Yon,DELACROIX,6.2,2025-04-18,50,80
Le Mans,GUEDOU,11.0,2025-04-18,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,7.1,2025-04-18,50,80
Donges,PARSCAU DU PLESSIS,7.0,2025-04-18,50,80
Le Mans,SOURCES,7.6,2025-04-18,50,80
Nantes,CIM BOUTEILLERIE,7.3,2025-04-18,50,80
Rezé,TRENTEMOULT,11.0,2025-04-18,50,80
Bouguenais,LES COUETS,8.8,2025-04-18,50,80
Angers,ROI RENE,13.0,2025-04-18,50,80
Montoir-De-Bretagne,CAMEE,12.0,2025-04-18,50,80
Nantes,FRERES GONCOURT,18.0,2025-04-18,50,80
Nantes,PRAIRIE AU DUC,8.5,2025-04-18,50,80
Donges,LA MEGRETAIS,4.1,2025-04-17,50,80
Frossay,FROSSAY,5.2,2025-04-17,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,5.1,2025-04-17,50,80
Cholet,SAINT EXUPERY,11.0,2025-04-17,50,80
Saint-Nazaire,LEON BLUM,4.4,2025-04-17,50,80
Angers,BEAUX ARTS,7.0,2025-04-17,50,80
Laval,MAZAGRAN,11.0,2025-04-17,50,80
La Tardière,LA TARDIERE,5.4,2025-04-17,50,80
La Roche-Sur-Yon,DELACROIX,5.9,2025-04-17,50,80
Le Mans,GUEDOU,13.0,2025-04-17,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,7.6,2025-04-17,50,80
Donges,PARSCAU DU PLESSIS,4.9,2025-04-17,50,80
Le Mans,SOURCES,14.0,2025-04-17,50,80
Nantes,CIM BOUTEILLERIE,6.1,2025-04-17,50,80
Rezé,TRENTEMOULT,8.9,2025-04-17,50,80
Bouguenais,LES COUETS,7.2,2025-04-17,50,80
Angers,ROI RENE,11.0,2025-04-17,50,80
Montoir-De-Bretagne,CAMEE,10.0,2025-04-17,50,80
Nantes,FRERES GONCOURT,21.0,2025-04-17,50,80
Nantes,PRAIRIE AU DUC,15.0,2025-04-17,50,80
Donges,LA MEGRETAIS,6.4,2025-04-16,50,80
Frossay,FROSSAY,7.4,2025-04-16,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,7.4,2025-04-16,50,80
Cholet,SAINT EXUPERY,11.0,2025-04-16,50,80
Saint-Nazaire,LEON BLUM,8.7,2025-04-16,50,80
Angers,BEAUX ARTS,8.1,2025-04-16,50,80
Laval,MAZAGRAN,9.9,2025-04-16,50,80
La Tardière,LA TARDIERE,6.5,2025-04-16,50,80
La Roche-Sur-Yon,DELACROIX,6.8,2025-04-16,50,80
Le Mans,GUEDOU,9.2,2025-04-16,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,7.7,2025-04-16,50,80
Donges,PARSCAU DU PLESSIS,8.0,2025-04-16,50,80
Le Mans,SOURCES,8.5,2025-04-16,50,80
Nantes,CIM BOUTEILLERIE,7.8,2025-04-16,50,80
Rezé,TRENTEMOULT,12.0,2025-04-16,50,80
Bouguenais,LES COUETS,8.8,2025-04-16,50,80
Angers,ROI RENE,11.0,2025-04-16,50,80
Montoir-De-Bretagne,CAMEE,12.0,2025-04-16,50,80
Nantes,FRERES GONCOURT,22.0,2025-04-16,50,80
Nantes,PRAIRIE AU DUC,22.0,2025-04-16,50,80
Donges,LA MEGRETAIS,11.0,2025-04-15,50,80
Frossay,FROSSAY,11.0,2025-04-15,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,10.0,2025-04-15,50,80
Cholet,SAINT EXUPERY,13.0,2025-04-15,50,80
Saint-Nazaire,LEON BLUM,12.0,2025-04-15,50,80
Angers,BEAUX ARTS,9.5,2025-04-15,50,80
Laval,MAZAGRAN,10.0,2025-04-15,50,80
La Tardière,LA TARDIERE,8.5,2025-04-15,50,80
La Roche-Sur-Yon,DELACROIX,9.1,2025-04-15,50,80
Le Mans,GUEDOU,9.5,2025-04-15,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,8.4,2025-04-15,50,80
Donges,PARSCAU DU PLESSIS,14.0,2025-04-15,50,80
Le Mans,SOURCES,8.1,2025-04-15,50,80
Nantes,CIM BOUTEILLERIE,11.0,2025-04-15,50,80
Rezé,TRENTEMOULT,15.0,2025-04-15,50,80
Bouguenais,LES COUETS,11.0,2025-04-15,50,80
Angers,ROI RENE,12.0,2025-04-15,50,80
Montoir-De-Bretagne,CAMEE,18.0,2025-04-15,50,80
Nantes,FRERES GONCOURT,23.0,2025-04-15,50,80
Nantes,PRAIRIE AU DUC,20.0,2025-04-15,50,80
Donges,LA MEGRETAIS,8.7,2025-04-14,50,80
Frossay,FROSSAY,11.0,2025-04-14,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,9.9,2025-04-14,50,80
Cholet,SAINT EXUPERY,12.0,2025-04-14,50,80
Saint-Nazaire,LEON BLUM,10.0,2025-04-14,50,80
Angers,BEAUX ARTS,12.0,2025-04-14,50,80
Laval,MAZAGRAN,11.0,2025-04-14,50,80
La Tardière,LA TARDIERE,10.0,2025-04-14,50,80
La Roche-Sur-Yon,DELACROIX,13.0,2025-04-14,50,80
Le Mans,GUEDOU,12.0,2025-04-14,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,12.0,2025-04-14,50,80
Donges,PARSCAU DU PLESSIS,8.1,2025-04-14,50,80
Le Mans,SOURCES,11.0,2025-04-14,50,80
Nantes,CIM BOUTEILLERIE,12.0,2025-04-14,50,80
Rezé,TRENTEMOULT,16.0,2025-04-14,50,80
Bouguenais,LES COUETS,13.0,2025-04-14,50,80
Angers,ROI RENE,16.0,2025-04-14,50,80
Montoir-De-Bretagne,CAMEE,14.0,2025-04-14,50,80
Nantes,FRERES GONCOURT,23.0,2025-04-14,50,80
Nantes,PRAIRIE AU DUC,21.0,2025-04-14,50,80
Donges,LA MEGRETAIS,8.4,2025-04-13,50,80
Frossay,FROSSAY,9.0,2025-04-13,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,9.4,2025-04-13,50,80
Cholet,SAINT EXUPERY,17.0,2025-04-13,50,80
Saint-Nazaire,LEON BLUM,9.2,2025-04-13,50,80
Angers,BEAUX ARTS,12.0,2025-04-13,50,80
Laval,MAZAGRAN,15.0,2025-04-13,50,80
La Tardière,LA TARDIERE,12.0,2025-04-13,50,80
La Roche-Sur-Yon,DELACROIX,12.0,2025-04-13,50,80
Le Mans,GUEDOU,15.0,2025-04-13,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,12.0,2025-04-13,50,80
Donges,PARSCAU DU PLESSIS,11.0,2025-04-13,50,80
Le Mans,SOURCES,14.0,2025-04-13,50,80
Nantes,CIM BOUTEILLERIE,10.0,2025-04-13,50,80
Rezé,TRENTEMOULT,14.0,2025-04-13,50,80
Bouguenais,LES COUETS,10.0,2025-04-13,50,80
Angers,ROI RENE,16.0,2025-04-13,50,80
Montoir-De-Bretagne,CAMEE,8.3,2025-04-13,50,80
Nantes,FRERES GONCOURT,18.0,2025-04-13,50,80
Nantes,PRAIRIE AU DUC,10.0,2025-04-13,50,80
